Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
01/15/2024,STARBUCKS COFFEE,-5.75,STARBUCKS COFFEE,STARBUCKS COFFEE,123 MAIN ST,BOSTON MA,02115,UNITED STATES,REF001,Restaurant-Bar & Café
01/16/2024,WHOLE FOODS MARKET,-45.20,WHOLE FOODS MARKET,WHOLE FOODS MARKET,456 GROCERY AVE,BOSTON MA,02116,UNITED STATES,REF002,Merchandise & Supplies-Groceries
01/17/2024,UBER RIDE,-12.50,UBER RIDE,UBER RIDE,789 TRANSPORT ST,BOSTON MA,02117,UNITED STATES,REF003,Transportation-Taxis & Coach
01/18/2024,NETFLIX SUBSCRIPTION,-15.99,NETFLIX SUBSCRIPTION,NETFLIX SUBSCRIPTION,321 STREAMING BLVD,BOSTON MA,02118,UNITED STATES,REF004,Communications-Cable & Internet Comm
01/19/2024,AMAZON.COM,-89.99,AMAZON.COM,AMAZON.COM,654 SHOPPING WAY,BOSTON MA,02119,UNITED STATES,REF005,Merchandise & Supplies-Internet Purchase
01/20/2024,GYM MEMBERSHIP,-29.99,GYM MEMBERSHIP,GYM MEMBERSHIP,987 FITNESS RD,BOSTON MA,02120,UNITED STATES,REF006,Health & Wellness
01/21/2024,RESTAURANT DINNER,-65.00,RESTAURANT DINNER,RESTAURANT DINNER,147 DINING ST,BOSTON MA,02121,UNITED STATES,REF007,Restaurant-Restaurant
01/22/2024,GAS STATION,-45.00,GAS STATION,GAS STATION,258 FUEL AVE,BOSTON MA,02122,UNITED STATES,REF008,Transportation-Gas Stations
01/23/2024,MOVIE THEATER,-24.00,MOVIE THEATER,MOVIE THEATER,369 ENTERTAINMENT BLVD,BOSTON MA,02123,UNITED STATES,REF009,Entertainment
01/24/2024,PHARMACY,-12.50,PHARMACY,PHARMACY,741 HEALTH ST,BOSTON MA,02124,UNITED STATES,REF010,Health & Wellness 
